序号	PDF文件	类型	PDF行号	状态	对应说明	原题摘要
214	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	choice	3	已写入	质点动力学基础；答案页 p8，选 A	2. 二次阻力下落收尾速度
215	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	choice	3	重复跳过	与 2004 椭圆轨道远近点角动量和动能题同模型；答案页 p8，选 C	3. 人造卫星椭圆轨道近远地点 L 与 Ek 比较
216	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	choice	4	已写入	三大守恒定律；配图 pdf2005-q04-circle-work.png；答案页 p8，选 B	4. 圆周路径上位置相关力做功
217	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	choice	4	重复跳过	与气体动理论中同温氢气/氧气麦克斯韦分布读图和最概然速率关系重复；答案页 p8，选 B	5. 氧气和氢气速率分布曲线与最概然速率比
218	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	choice	4	已写入	热力学第一定律；配图 pdf2005-q06-adiabatic-paths.png；答案页 p8，选 B	6. 同一绝热初末态两条路径吸放热判断
219	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	choice	4	已写入	机械振动；答案页 p8，选 D	7. 弹簧振子振幅加倍质量变四倍时总能量
220	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	choice	5	已写入	机械波；配图 pdf2005-q08-sources.png；答案页 p8，选 C	8. 两相干波源有初相差时 S1 外侧相位差
221	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	choice	5	已写入	机械波；答案页 p8，选 D	9. 补出反向波使 x=0 处为波腹
222	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	choice	5	已写入	光的干涉；答案页 p8，选 D	10. 迈克耳孙干涉仪插入薄膜导致光程差改变一个波长
223	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	blank	5	已写入	质点运动学；答案页 p8	11. 旋转探照灯沿岸扫过速度 69.8 m/s
224	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	blank	6	已写入	质点动力学基础；配图 pdf2005-q12-rotating-hoop.png；答案页 p8	12. 竖直圆环旋转时小珠离开底部的最小角速度
225	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	blank	6	已写入	气体动理论；答案页 p8	13. 电子管真空度换算为分子数密度 3.2e17 /m3
226	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	blank	6	已写入	热力学第一定律；答案页 p8	14. 卡诺最大效率热机每循环做功 400 J
227	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	blank	6	已写入	机械振动；配图 pdf2005-q15-rotating-vector.png；答案页 p8	15. 旋转矢量图读初相 pi/4 与振动方程
228	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	blank	6	已写入并复核	机械振动；本轮人工核对确认：题面为 \(x_1=6\times10^{-2}\cos(5t+\pi/2),x_2=2\times10^{-2}\cos(\pi-5t)\)，答案页 \(4\times10^{-2}m,\pi/2\) 与题面不一致；正文按题面重算并注明答案疑误	16. 两同方向同频率简谐振动合成，按题面得 \(A=2\sqrt{10}\times10^{-2}m,\ \varphi=\pi-\arctan3\)
229	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	blank	6	已写入	光的干涉；配图 pdf2005-q17-mica-double-slit.png；答案页 p8	17. 双缝 S1 覆云母片后中央明纹上移与光程差
230	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	blank	6	已写入	光的干涉；配图 pdf2005-q18-newton-ring-lift.png；答案页 p8	18. 牛顿环透镜上移 d 时固定点移过条纹数
231	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	blank	6	已写入	光的衍射；答案页 p8	19. 单缝第一级暗纹 30 度反推缝宽
232	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	blank	6	已写入	光的偏振；答案页 p8	20. 自然光在空气到 n=1.40 液体界面布儒斯特反射时折射角
233	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	calculation	7	已写入	刚体力学；配图 pdf2005-q21-bullet-rod.png；答案页 p9	21. 子弹射入绕端点转动的匀质棒，求角速度和转角
234	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	calculation	7	已写入	热力学第一定律；配图 pdf2005-q22-pv-adiabatic.png；答案页 p9-p10	22. 单原子理想气体等压再绝热膨胀全过程 W、Delta U、Q
235	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	calculation	7	已写入	机械波；配图 pdf2005-q23-wave.png；答案页 p10	23. 由 t=0 波形图写波动表达式和 P 点振动方程
236	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	calculation	7	重复跳过	与已有光栅“给定某级角度并有缺级，求光栅常数/缝宽/可见级次”同模型；答案页 p10	24. 光栅第二级 30 度且第三级缺级
237	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	choice	1	已写入	质点运动学；答案页 p1，选 C	1. 骑车人感到相对风从北偏西 30 度吹来
238	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	choice	1	重复跳过	与 2005 二次阻力下落收尾速度同题；答案页 p1，选 A	2. 二次阻力下落物体的收尾速度
239	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	choice	1	已写入	质点动力学基础；配图 pdf2006-q03-friction-angle.png；答案页 p1，选 C	3. 粗糙水平面上斜拉力使加速度最大时 tan theta=mu
240	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	choice	1	已写入	三大守恒定律；答案页 p1，选 C	4. 恒力使速度分两段增加时功与冲量比较
241	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	choice	1	已写入	气体动理论；答案页 p1，选 C	5. 同温同压氦气和氧气平均总动能与平均平动动能比较
242	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	choice	1	已写入	热力学第一定律；答案页 p1，选 B	6. 绝热膨胀、等体升温、等温压缩循环的净功符号
243	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	choice	1	已写入	机械振动；配图 pdf2006-q07-vt-phase.png；答案页 p1，选 A	7. 由速度-时间图像读简谐振动初相 pi/6
244	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	choice	1	重复跳过	与 2003 波形图上平衡位置质元能量最大同模型；答案页 p1，选 C	8. 简谐机械波中质元处于平衡位置时能量最大
245	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	choice	1-2	已写入	光的干涉；答案页 p1，选 A	9. 介质中相位差 3pi 对应光程 1.5 lambda
246	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	choice	2	已写入	光的干涉；答案页 p1，选 C	10. 空气劈形膜上玻璃整体上移时条纹向棱边平移且间隔不变
247	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	blank	2	重复跳过	与 2005 万有引力做功只看距离变化同题；答案页 p1	11. 两质点距离由 a 缩短到 b 时万有引力做功
248	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	blank	2	重复跳过	与 2003 人在船上走动时反推船质量同题；答案页 p1	12. 渔人在船上走动反推船质量 180 kg
249	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	blank	2	已写入	气体动理论；配图 pdf2006-q13-maxwell-interval.png；答案页 p1	13. 温度升高时平均速率附近固定区间分子比例降低
250	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	blank	2	已写入	气体动理论；答案页 p1，按平均速率公式核对	14. 两种单原子分子同温时平均速率之比 sqrt(M2/M1)
251	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	blank	2	重复跳过	与 2003/2004 由振动曲线判断最大速率比同题；答案页 p1	15. 两简谐振动最大速率之比 1:1
252	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	blank	2	已写入	机械振动；配图 pdf2006-q16-phase-lead.png；答案页 p1	16. 两简谐振动曲线判断 x1 比 x2 超前 3pi/4
253	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	blank	2	已写入	机械波；答案页 p1	17. 驻波表达式 y=2e-2 cos15x cos1500t 求行波波速
254	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	blank	3	重复跳过	与已有“牛顿环中空气换液体后反推折射率”同题；答案页 p1	18. 牛顿环空气换液体后由暗环半径求折射率
255	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	blank	3	已写入	光的衍射；答案页 p1	19. 给定光栅常数和波长求最高可见级次
256	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	blank	3	重复跳过	与布儒斯特定律定理和 2005 折射角题重复；答案页 p1	20. 自然光以布儒斯特角入射时 tan i0=n2/n1
257	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	calculation	3	已写入	刚体力学；配图 pdf2006-q21-composite-wheel.png；答案页 p1-p2	21. 大小圆盘组合轮两侧挂重物求角加速度和角速度
258	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	calculation	3	已写入	热力学第一定律；配图 pdf2006-q22-pv-cycle.png；答案页 p2	22. 三角形 p-V 循环求 B/C 温度、各段功和总吸热
259	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	calculation	3	已写入	机械波；答案页 p3	23. 两列不等振幅反向余弦波合振幅最大和最小位置
260	【包打听分享】2006级大学物理（I）期末试卷A卷.pdf	calculation	3	已写入	光的衍射；答案页 p3	24. 光栅中央明纹宽度内单缝中央宽度和主极大个数
261	【包打听分享】2006级大学物理（I）期末试卷A卷答案及评分标准.pdf	answer	1-3	答案校验使用	不作为新题源单独录入；用于核对 2006 A 卷选择、填空和计算题答案	2006 A 卷答案及评分标准
262	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	choice	1	已写入	质点运动学；答案页 p1，选 C	1. 曲线运动中某时刻法向加速度可以为零
263	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	choice	1	已写入	质点动力学基础；配图 pdf2007-q02-light-pulley-force.png；答案页 p1，选 B	2. 轻滑轮一侧重物改为恒力 F=m1g 后 a'>a
264	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	choice	1	已写入	三大守恒定律；答案页 p1，选 C	3. 相同冲量作用下两个质点的动量增量相等
265	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	choice	1	已写入	质点动力学基础；答案页 p1，选 B	4. 电梯中不同质量阿特伍德机平衡说明电梯以 g 向下加速
266	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	choice	1	重复跳过	与已有“最概然速率相等时三种统计速率是否相等”同题；答案页 p1，选 A	5. 两种气体最概然速率相等时平均速率和方均根速率相等
267	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	choice	2	已写入	机械振动；答案页 p1，选 E	6. 位移为 A/4 时简谐振动动能占总能量 15/16
268	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	choice	2	已写入	光的干涉；配图 pdf2007-q07-lloyd-mirror.png；答案页 p1，选 B	7. 双缝 P 点明纹改为高折射率反射面后因半波损失变暗
269	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	choice	2	已写入	光的干涉；答案页 p1，选 B	8. MgF2 增透膜最小厚度 90.6 nm
270	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	choice	2	已写入	光的衍射；配图 pdf2007-q09-single-slit-scale.png；答案页 p1，选 D	9. 单缝 a 变为 3/2 且 lambda 变为 3/4 时中央明纹宽度变为 1/2
271	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	choice	2	已写入	光的偏振；答案页 p1，选 B	10. 自然光穿过两片成 45 度偏振片后光强 I0/4
272	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	blank	2	已写入	质点运动学；答案页 p1	11. 圆周运动 theta=pi/4+t^2/2 的切向加速度 0.1 m/s2
273	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	blank	3	已写入	三大守恒定律；答案页 p1	12. 变力 F=(4+5x)i 从 x=0 到 10 m 做功 290 J
274	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	blank	3	已写入	刚体力学；答案页 p1	13. 子弹沿直径嵌入转动圆盘边缘后 omega=M omega0/(M+2m)
275	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	blank	3	已写入	气体动理论；答案页 p1	14. 由容器质量密度和方均根速率求压强 1.33e5 Pa
276	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	blank	3	重复跳过	与已有“由骤停温升反推刚性双原子气体摩尔质量”同题；答案页 p1	15. 容器骤停温升反推摩尔质量 28e-3 kg/mol
277	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	blank	3	已写入	热力学第一定律；答案页 p1	16. 同终温等体吸热与等压吸热之差为等压功 166 J
278	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	blank	3	重复跳过	与 2003/2004/2006 振动曲线最大速率比同模型；答案页 p1	17. 两简谐振动最大速率之比 1:1
279	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	blank	3	已写入	机械波；答案页 p1	18. 相位落后 pi/3 且 lambda=3 m 时两点距离 0.5 m
280	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	blank	3	已写入	机械波；答案页 p1	19. 声波进入新介质频率不变，波速 503 m/s
281	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	blank	3	重复跳过	与已有双缝两介质片原中央处光程差同题；答案页 p1	20. 两缝分别覆折射率 n1,n2 厚度 e 介质时光程差 (n1-n2)e
282	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	calculation	4	已写入	刚体力学；配图 pdf2007-q21-stacked-block-pulley.png；答案页 p1	21. 叠放物块和有转动惯量滑轮求 beta=10 rad/s2, T=6 N, T'=4 N
283	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	calculation	4	已写入	热力学第一定律；答案页 p2	22. 1 mol 理想气体 400K/300K 卡诺循环 Q1,W,Q2
284	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	calculation	4	重复跳过	与 2005 由 t=0 波形图写波动表达式和 P 点振动方程同题；答案页 p2	23. 平面简谐波 t=0 波形图写波函数和 P 点振动
285	【包打听分享】2007级大学物理（I）期末试卷(A卷).pdf	calculation	4	重复跳过	与已有光栅第二级主极大且缺级求光栅常数/缝宽/级次同题；答案页 p2	24. 光栅第二级 30 度且第三级缺级求常数、缝宽和可见级次
286	【包打听分享】2007级大学物理（I）期末试卷解答（A卷.pdf	answer	1-2	答案校验使用	不作为新题源单独录入；用于核对 2007 A 卷选择、填空和计算题答案	2007 A 卷答案及评分标准
287	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	choice	1	已写入	质点运动学；答案页 p1，选 B	1. 曲线运动中法向加速度必不为零（拐点处除外）
288	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	choice	1	重复跳过	与 2005 相对速度两船题同题；答案页 p1，选 B	2. A 船坐标系中 B 船速度为 -2i+2j
289	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	choice	1	重复跳过	与 2005/2006 下落阻力收尾速度题同题；答案页 p1，选 A	3. 速度平方阻力下落收尾速度
290	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	choice	1	重复跳过	与 2005 圆周路径位置相关力做功同题；答案页 p1，选 B	4. F=F0(xi+yj) 从 O 到 (0,2R) 做功
291	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	choice	2	重复跳过	与 2004/2007 椭圆轨道角动量和动能比较同题；答案页 p1，选 E	5. 卫星近地点远地点角动量相等且远点动能小
292	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	choice	2	已写入	气体动理论；答案页 p1，选 D	6. 理想气体速度分量平方平均值 kT/m
293	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	choice	2	已写入	机械振动；答案页 p1，选 E	7. 给定简谐方程首次到达 x=-2 cm 且向 +x 运动
294	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	choice	2	已写入	机械波；配图 pdf2008-q08-wave-negative.png；答案页 p1，选 C	8. 沿 -x 传播波形图写原点振动方程
295	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	choice	2	已写入	光的干涉；答案页 p1，选 B	9. 双缝一缝加玻璃纸额外光程 2.5lambda，原明纹变暗
296	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	choice	3	已写入	光的干涉；答案页 p1，选 B	10. 空气中透明薄膜反射加强最小厚度 lambda/(4n)
297	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	blank	3	已写入	质点动力学基础；答案页 p1	11. F=(3+2t)i 作用 2 kg 物体从静止到 t=1 s 速度 2 m/s
298	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	blank	3	已写入	刚体力学；配图 pdf2008-q12-block-pulley.png；答案页 p1	12. 滑块重物和有转动惯量滑轮求加速度
299	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	blank	3	已写入	热力学第一定律；答案页 p1	13. 1 mol 氮气等体由 p1 到 p2 的内能增量
300	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	blank	3	已写入	气体动理论；答案页 p1	14. Maxwell 分布中速率从 vp 到无穷的概率积分
301	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	blank	3	已写入	热力学第一定律；配图 pdf2008-q15-pt-cycle.png；答案页 p1	15. p-T 图卡诺型循环效率 25%
302	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	blank	3	已写入	机械振动；答案页 p1	16. 三个相同振幅同频振动合成为零
303	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	blank	3	已写入	机械波；答案页 p1	17. 行波质元总机械能 10 J 时一周期后动能 5 J
304	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	blank	3	已写入	光的衍射；答案页 p1	18. 单缝中央明纹宽度随波长由 589 nm 到 442 nm 缩为 3.0 mm
305	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	blank	4	已写入	光的衍射；答案页 p1	19. 望远镜分辨两星所需物镜口径 13.9 cm
306	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	blank	4	已写入	光的偏振；答案页 p1	20. 完全偏振时折射角 30 度反推玻璃折射率 sqrt(3)
307	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	calculation	4	已写入	刚体力学；配图 pdf2008-q21-pendulum-rod.png；答案页 p1	21. 单摆弹性碰撞匀质细杆求 M=3m 和 theta=arccos(1/3)
308	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	calculation	4	已写入	热力学第一定律；配图 pdf2008-q22-pv-cycle.png；答案页 p1-p2	22. 等体等压等温 p-V 循环功和热量
309	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	calculation	4	已写入	机械波；答案页 p2	23. 固定端反射形成驻波表达式
310	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	calculation	4	已写入	光的干涉；答案页 p2	24. 空气劈尖第四明纹随劈尖角改变的位移
311	【包打听分享】2008大学物理（1）A卷试卷规范模版.pdf	calculation	4	已写入	光的衍射；答案页 p2	25. 两波长光栅同角主极大求光栅常数和未知波长
312	【包打听分享】2008级大学物理（I）期末试卷解答（A卷）.pdf	answer	1-2	答案校验使用	不作为新题源单独录入；用于核对 2008 A 卷选择、填空和计算题答案	2008 A 卷答案及评分标准
313	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	choice	1	重复/概念跳过	质点运动学；答案页 p1，选 D；已有速度矢量大小定义	1. 矢径端点速度大小为 sqrt((dx/dt)^2+(dy/dt)^2)
314	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	choice	1	已写入	三大守恒定律；配图 pdf2009-q02-conical-pendulum.png；答案页 p1，选 C	2. 圆锥摆半周内重力冲量 pi Rmg/v
315	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	choice	1	重复跳过	三大守恒定律；与 2004/2008 椭圆轨道远近点角动量和动能比较同模型；答案页 p1，选 C	3. 卫星椭圆轨道近地点和远地点角动量相等、近点动能大
316	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	choice	1	已写入	三大守恒定律；答案页 p1，选 B	4. 由 x=5t, y=0.5t^2 用动能定理求 2s 到 4s 外力功 3J
317	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	choice	2	已写入	气体动理论；答案页 p1，选 C	5. 标准状态氧气和氦气体积比 1:2 时内能比 5:6
318	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	choice	2	重复跳过	机械振动；与 2006 由速度图像读简谐振动初相同类；答案页 p1，选 C	6. 由简谐振动 v-t 图读初相 -5pi/6
319	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	choice	2	已写入	机械振动；答案页 p1，选 D	7. 从平衡位置沿 +x 到 A/2 的时间 T/12
320	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	choice	2	重复/同类跳过	光的干涉；已有薄膜反射光程差与半波损失同类讲解；答案页 p1，选 C	8. n1<n2>n3 薄膜反射光程差 2n2e-n1lambda1/2
321	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	choice	2	重复跳过	光的干涉；与 2007 洛埃镜半波损失使原明纹变暗同题；答案页 p1，选 B	9. 双缝明纹遮一缝并用高折射率反射面后变暗
322	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	choice	2	已写入	光的干涉；配图 pdf2009-q10-wedge-defect.png；答案页 p1，选 C	10. 劈尖检测缺陷，条纹贴近左邻条纹时为凹陷且深度 lambda/2
323	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	blank	3	已写入	质点动力学基础；配图 pdf2009-q11-spring-stack.png；答案页 p1	11. 撤去支承面瞬间弹簧下端物体加速度 2g
324	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	blank	3	已写入	刚体力学；配图 pdf2009-q12-bullet-rod-offset.png；答案页 p1	12. 子弹射入距端点 2l/3 处匀质细杆的初角速度
325	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	blank	3	重复跳过	气体动理论；与 2007 由容器密度和方均根速率求压强同题；答案页 p1	13. V=1e-2 m3, M=100g, vrms=200m/s 求压强 1.33e5 Pa
326	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	blank	3	重复/概念跳过	气体动理论；已有 Maxwell 分布概率积分含义讲解；答案页 p1	14. 用 integral f(v)dv 表示 v1 到 v2 分子百分比
327	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	blank	3	已写入	热力学第一定律；配图 pdf2009-q15-pv-semicircle.png；答案页 p1	15. p-V 半圆循环净吸热小于等压 a 到 b 吸热
328	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	blank	3	重复/同类跳过	机械振动；已有同频同向振动合成题；答案页 p1	16. 两同向同频简谐振动合成为 0.05sqrt2 cos(omega t+pi/2)
329	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	blank	3	重复/同类跳过	机械波；已有相位差与波长关系练习；答案页 p1	17. T=0.04s, u=300m/s, 两点距差 6m 时相位差 pi
330	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	blank	3	重复跳过	机械波；与固定端反射相位突变题同模型互逆；答案页 p1	18. 已知固定端反射波求入射波
331	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	blank	3	重复/同类跳过	光的衍射；已有单缝半波带与暗纹条件题；答案页 p1	19. 衍射角 30 度处分成四个半波带时缝宽 4lambda
332	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	blank	4	重复/同类跳过	光的偏振；与 2007 两偏振片 45 度马吕斯定律同模型；答案页 p1	20. 已知末光强 I 求入射第二片前强度 2I
333	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	calculation	4	已写入	刚体力学；配图 pdf2009-q21-double-pulley.png；答案页 p1	21. 两个有转动惯量定滑轮之间绳张力 11mg/8
334	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	calculation	4	已写入	热力学第一定律；配图 pdf2009-q22-tv-cycle.png；答案页 p1	22. 1 mol 单原子理想气体 T-V 循环热量、净功和效率
335	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	calculation	4	已写入	机械波；答案页 p2	23. 由原点负最大位移写沿 +x 传播的波函数并求 lambda=4m
336	【包打听分享】2009大学物理（1）A卷试卷规范模版.pdf	calculation	4	重复跳过	光的衍射；与已有光栅第二级主极大和第三级缺级综合题同型；答案页 p2	24. 光栅二级 30 度且第三级缺级求 d、a 和可见级次
337	【包打听分享】2009级大学物理（I）期末试卷解答（A卷）.pdf	answer	1-2	答案校验使用	不作为新题源单独录入；用于核对 2009 A 卷选择、填空和计算题答案	2009 A 卷答案及评分标准
338	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	choice	1	已写入	质点运动学；答案页 p1，选 D	1. 变速圆周运动总加速度 sqrt((dv/dt)^2+(v^2/R)^2)
339	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	choice	1	已写入	三大守恒定律；答案页 p1，选 C	2. 子弹嵌入木块后共同运动，木块受冲量 9 N s
340	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	choice	1	重复跳过	三大守恒定律；与 2005 圆周路径上 F0(xi+yj) 做功同题；答案页 p1，选 B	3. F=F0(xi+yj) 沿圆周从 O 到 (0,2R) 做功 2F0R2
341	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	choice	1	重复/同类跳过	气体动理论；已有同温氦气/氮气压强与密度关系同类讲解；答案页 p1，选 C	4. 氦气和氮气质量密度与平均平动动能相同时温度同、氦气压强大
342	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	choice	2	重复/概念跳过	气体动理论；已有 Maxwell 分布能量积分含义；答案页 p1，选 D	5. integral 1/2 mv^2 Nf(v)dv 表示速率区间内分子平动能之和
343	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	choice	2	已写入	热力学第一定律；见“2010级期末：用绝热线参照判断任意压缩过程吸放热”；答案页 p1，选 B	6. p-V 图中绝热 bca 与任意过程 b1a/b2a 判断吸放热和作功
344	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	choice	2	已写入	热力学第二定律；见“2010级期末：面积相等但温区不同的两个卡诺循环”；答案页 p1，选 B	7. 两个等面积卡诺循环比较效率 eta<eta' 且 Q>Q'
345	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	choice	2	重复跳过	机械波；与已有横波能量最大位置题同模型；答案页 p1，选 B	8. 横波波形中能量最大质元位于平衡位置 a,c,e,g
346	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	choice	2	重复/同类跳过	光的干涉；已有薄膜上下表面反射光相位差例题；答案页 p1，选 C	9. 薄膜反射相位差 4pi n2 e/(n1 lambda1)+pi
347	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	choice	2	重复跳过	光的干涉；与 2007 MgF2 增透膜最小厚度同题；答案页 p1，选 B	10. MgF2 增透膜最小厚度 90.6 nm
348	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	blank	3	已写入	三大守恒定律；答案页 p1	11. 地球绕太阳圆周运动轨道角动量 m sqrt(GMR)
349	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	blank	3	已写入	质点动力学基础；答案页 p1	12. F=F0 cos(omega t) 时 x=x0+F0(1-cos omega t)/(m omega^2)
350	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	blank	3	已写入	气体动理论；答案页 p1	13. 标准状态氢气和氦气体积比 3:5 时内能比 1:1
351	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	blank	3	已写入	三大守恒定律；答案页 p1	14. 木料与天鹅分离的水平动量守恒，木料末速 5.46 km/h
352	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	blank	3	已写入	机械振动；答案页 p1	15. 由 x-t 图写简谐振动 x=4cos(7pi t/12-2pi/3)
353	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	blank	3	已写入	机械振动；答案页 p1	16. 两反相同频振动合成为 0.02cos(4pi t+pi/3)
